frame_idx,track_id,x1,y1,x2,y2,conf,verdict,collector,session,captured_at
0,-1,166,161,288,296,,1,Hector,live_20260727-205818,2026-07-27T19:03:18.698057+00:00
0,-2,305,183,419,341,,1,Hector,live_20260727-205818,2026-07-27T19:03:18.580153+00:00
188,1,267,188,435,349,,1,Hector,live_20260727-205818,2026-07-27T19:03:20.368355+00:00
188,2,197,162,284,295,,1,Hector,live_20260727-205818,2026-07-27T19:03:20.681747+00:00
388,1,290,156,466,347,,1,Hector,live_20260727-205818,2026-07-27T19:03:21.758265+00:00
388,5,183,161,303,328,,1,Hector,live_20260727-205818,2026-07-27T19:03:21.928316+00:00
589,1,374,158,590,343,,1,Hector,live_20260727-205818,2026-07-27T19:03:22.959154+00:00
589,5,211,163,321,310,,1,Hector,live_20260727-205818,2026-07-27T19:03:24.055871+00:00
803,1,331,160,462,348,,1,Hector,live_20260727-205818,2026-07-27T19:03:24.998225+00:00
1009,1,323,159,460,345,,1,Hector,live_20260727-205818,2026-07-27T19:03:26.016258+00:00
1009,5,165,157,324,311,,1,Hector,live_20260727-205818,2026-07-27T19:03:26.227811+00:00
1217,1,328,159,460,345,,1,Hector,live_20260727-205818,2026-07-27T19:03:27.043795+00:00
1217,5,184,159,324,307,,1,Hector,live_20260727-205818,2026-07-27T19:03:27.277315+00:00
1420,5,195,179,303,308,,1,Hector,live_20260727-205818,2026-07-27T19:03:28.676232+00:00
1420,10,409,43,530,357,,1,Hector,live_20260727-205818,2026-07-27T19:03:28.981236+00:00
1616,5,198,164,314,309,,1,Hector,live_20260727-205818,2026-07-27T19:03:32.063699+00:00
1616,10,275,177,437,345,,1,Hector,live_20260727-205818,2026-07-27T19:03:32.178094+00:00
1806,5,152,167,297,304,,1,Hector,live_20260727-205818,2026-07-27T19:03:33.680628+00:00
1806,10,276,176,438,356,,1,Hector,live_20260727-205818,2026-07-27T19:03:33.870791+00:00
2002,5,155,170,296,304,,1,Hector,live_20260727-205818,2026-07-27T19:03:34.941057+00:00
2002,10,303,174,442,351,,1,Hector,live_20260727-205818,2026-07-27T19:03:35.083276+00:00
2196,5,152,165,301,308,,1,Hector,live_20260727-205818,2026-07-27T19:03:37.090215+00:00
2196,10,309,174,447,345,,1,Hector,live_20260727-205818,2026-07-27T19:03:38.229654+00:00
2385,5,171,168,300,304,,1,Hector,live_20260727-205818,2026-07-27T19:03:42.928200+00:00
2385,10,295,178,432,349,,1,Hector,live_20260727-205818,2026-07-27T19:03:43.127517+00:00
2572,5,181,168,300,304,,1,Hector,live_20260727-205818,2026-07-27T19:03:44.870899+00:00
2572,10,293,183,433,349,,1,Hector,live_20260727-205818,2026-07-27T19:03:45.375347+00:00
2760,5,157,157,273,297,,1,Hector,live_20260727-205818,2026-07-27T19:03:47.845729+00:00
2760,10,286,182,434,346,,1,Hector,live_20260727-205818,2026-07-27T19:03:48.741875+00:00
2940,5,162,174,290,304,,1,Hector,live_20260727-205818,2026-07-27T19:03:51.625090+00:00
2940,10,286,184,434,347,,1,Hector,live_20260727-205818,2026-07-27T19:03:51.832682+00:00
3115,10,263,177,443,342,,1,Hector,live_20260727-205818,2026-07-27T19:03:53.968346+00:00
3115,5,167,176,305,301,,1,Hector,live_20260727-205818,2026-07-27T19:03:54.133386+00:00
3300,10,273,187,430,345,,1,Hector,live_20260727-205818,2026-07-27T19:03:55.952404+00:00
3300,5,162,174,298,301,,1,Hector,live_20260727-205818,2026-07-27T19:03:56.183654+00:00
3476,10,353,176,460,352,,1,Hector,live_20260727-205818,2026-07-27T19:03:59.563678+00:00
3476,18,200,184,295,303,,1,Hector,live_20260727-205818,2026-07-27T19:04:00.110132+00:00
3667,10,305,179,459,354,,1,Hector,live_20260727-205818,2026-07-27T19:04:02.589400+00:00
3667,18,178,186,295,304,,1,Hector,live_20260727-205818,2026-07-27T19:04:03.948503+00:00
3865,10,307,178,459,354,,1,Hector,live_20260727-205818,2026-07-27T19:04:06.270155+00:00
3865,18,197,181,297,303,,1,Hector,live_20260727-205818,2026-07-27T19:04:06.700712+00:00
4060,10,337,183,450,350,,1,Hector,live_20260727-205818,2026-07-27T19:04:14.295796+00:00
4060,18,195,181,299,304,,1,Hector,live_20260727-205818,2026-07-27T19:04:14.550583+00:00
4257,10,337,182,450,350,,1,Hector,live_20260727-205818,2026-07-27T19:04:16.048323+00:00
4257,18,208,181,317,309,,1,Hector,live_20260727-205818,2026-07-27T19:04:16.268685+00:00
4472,10,330,176,457,350,,1,Hector,live_20260727-205818,2026-07-27T19:04:18.256530+00:00
4472,18,197,181,312,307,,1,Hector,live_20260727-205818,2026-07-27T19:04:18.631345+00:00
4669,10,312,182,461,358,,1,Hector,live_20260727-205818,2026-07-27T19:04:20.579964+00:00
4669,18,162,179,312,308,,1,Hector,live_20260727-205818,2026-07-27T19:04:21.195211+00:00
