frame_idx,track_id,x1,y1,x2,y2,conf,verdict,collector,session,captured_at
249,2,585,98,638,272,,1,Hector,live_20260727-230151,2026-07-27T21:18:24.250199+00:00
479,2,546,113,639,332,,1,Hector,live_20260727-230151,2026-07-27T21:18:25.077776+00:00
711,2,547,115,639,332,,1,Hector,live_20260727-230151,2026-07-27T21:18:25.681133+00:00
925,2,546,114,639,332,,1,Hector,live_20260727-230151,2026-07-27T21:18:26.456249+00:00
925,16,339,207,391,360,,1,Hector,live_20260727-230151,2026-07-27T21:18:27.009428+00:00
1143,2,547,111,639,331,,1,Hector,live_20260727-230151,2026-07-27T21:18:27.733062+00:00
1143,16,344,205,404,360,,1,Hector,live_20260727-230151,2026-07-27T21:18:27.944520+00:00
1365,2,548,109,640,331,,1,Hector,live_20260727-230151,2026-07-27T21:18:29.411786+00:00
1365,16,347,194,408,357,,1,Hector,live_20260727-230151,2026-07-27T21:18:29.562916+00:00
1556,2,537,136,637,346,,1,Hector,live_20260727-230151,2026-07-27T21:18:32.044612+00:00
1556,34,212,186,288,358,,1,Hector,live_20260727-230151,2026-07-27T21:18:32.217730+00:00
1556,40,413,176,474,309,,1,Hector,live_20260727-230151,2026-07-27T21:18:32.381127+00:00
1556,43,369,189,455,357,,1,Hector,live_20260727-230151,2026-07-27T21:18:34.278172+00:00
1723,104,288,61,420,357,,1,Hector,live_20260727-230151,2026-07-27T21:18:35.301828+00:00
11075,220,472,246,572,355,,1,Hector,live_20260727-230151,2026-07-27T21:18:51.665648+00:00
14084,257,407,251,495,358,,1,Hector,live_20260727-230151,2026-07-27T21:18:59.254894+00:00
14636,-1,41,195,332,308,,1,Hector,live_20260727-230151,2026-07-27T21:19:03.929962+00:00
