frame_idx,track_id,x1,y1,x2,y2,conf,verdict,collector,session,captured_at
154,15,127,1,484,354,,1,Hector,live_20260728-200208,2026-07-28T18:05:17.186257+00:00
437,15,225,7,576,357,,1,Hector,live_20260728-200208,2026-07-28T18:05:21.864519+00:00
586,15,229,60,547,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:22.863797+00:00
736,15,227,28,561,357,,1,Hector,live_20260728-200208,2026-07-28T18:05:23.978966+00:00
909,58,13,77,226,357,,1,Hector,live_20260728-200208,2026-07-28T18:05:25.100667+00:00
1068,58,41,43,280,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:25.989298+00:00
1214,58,0,68,226,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:27.332592+00:00
1354,58,136,105,417,357,,1,Hector,live_20260728-200208,2026-07-28T18:05:28.480164+00:00
1488,58,112,76,421,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:29.246689+00:00
1620,58,115,69,441,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:29.909752+00:00
1759,58,113,94,383,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:31.143927+00:00
1914,58,111,81,386,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:32.249547+00:00
2057,58,91,48,610,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:35.935389+00:00
2186,83,119,40,456,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:37.846076+00:00
2325,83,89,60,498,357,,1,Hector,live_20260728-200208,2026-07-28T18:05:39.159835+00:00
2454,83,117,115,369,356,,1,Hector,live_20260728-200208,2026-07-28T18:05:42.697453+00:00
