frame_idx,track_id,x1,y1,x2,y2,conf,verdict,collector,session,captured_at
0,-1,236,76,457,336,,1,unknown,live_20260725-114521,2026-07-25T09:47:04.754047+00:00
126,-2,216,59,425,336,,1,unknown,live_20260725-114521,2026-07-25T09:47:09.178848+00:00
226,-3,235,64,440,324,,1,unknown,live_20260725-114521,2026-07-25T09:47:18.874414+00:00
471,-4,247,94,481,343,,1,unknown,live_20260725-114521,2026-07-25T09:47:30.440095+00:00
844,39,453,160,599,358,,1,unknown,live_20260725-114521,2026-07-25T09:47:47.844208+00:00
965,43,380,201,466,357,,1,unknown,live_20260725-114521,2026-07-25T09:47:50.268705+00:00
965,40,0,134,99,357,,0,unknown,live_20260725-114521,2026-07-25T09:47:52.554287+00:00
1052,43,362,184,462,358,,1,unknown,live_20260725-114521,2026-07-25T09:47:56.454289+00:00
1167,-5,228,47,439,319,,1,unknown,live_20260725-114521,2026-07-25T09:48:02.548840+00:00
1290,-6,214,19,478,351,,1,unknown,live_20260725-114521,2026-07-25T09:48:09.235963+00:00
1419,-7,182,115,559,322,,1,unknown,live_20260725-114521,2026-07-25T09:48:12.053154+00:00
1534,88,447,115,521,357,,1,unknown,live_20260725-114521,2026-07-25T09:48:20.108210+00:00
1534,90,0,0,245,354,,1,unknown,live_20260725-114521,2026-07-25T09:48:23.403485+00:00
1631,90,276,39,422,357,,1,unknown,live_20260725-114521,2026-07-25T09:48:26.326406+00:00
1736,90,322,64,459,357,,1,unknown,live_20260725-114521,2026-07-25T09:48:28.655377+00:00
1841,105,525,22,640,327,,1,unknown,live_20260725-114521,2026-07-25T09:48:31.526777+00:00
1952,120,143,99,480,357,,1,unknown,live_20260725-114521,2026-07-25T09:48:33.620504+00:00
