frame_idx,track_id,x1,y1,x2,y2,conf,verdict,collector,session,captured_at
0,-1,385,200,469,318,,1,Hector,live_20260727-224901,2026-07-27T20:56:22.000832+00:00
0,-2,490,193,560,318,,1,Hector,live_20260727-224901,2026-07-27T20:56:21.716884+00:00
216,1,427,172,545,353,,1,Hector,live_20260727-224901,2026-07-27T20:56:25.568369+00:00
216,10,525,168,640,355,,1,Hector,live_20260727-224901,2026-07-27T20:56:25.865813+00:00
383,1,429,172,549,353,,1,Hector,live_20260727-224901,2026-07-27T20:56:27.380205+00:00
383,10,527,169,639,355,,1,Hector,live_20260727-224901,2026-07-27T20:56:27.648275+00:00
548,128,102,205,229,353,,1,Hector,live_20260727-224901,2026-07-27T20:57:07.497791+00:00
548,130,237,211,314,275,,1,Hector,live_20260727-224901,2026-07-27T20:57:08.703018+00:00
548,10,529,203,620,357,,1,Hector,live_20260727-224901,2026-07-27T20:57:09.113850+00:00
548,72,603,214,638,356,,1,Hector,live_20260727-224901,2026-07-27T20:57:09.345688+00:00
548,166,486,225,548,358,,1,Hector,live_20260727-224901,2026-07-27T20:57:09.563631+00:00
951,356,435,155,575,344,,1,Hector,live_20260727-224901,2026-07-27T20:57:13.734634+00:00
951,10,542,151,640,245,,1,Hector,live_20260727-224901,2026-07-27T20:57:14.121441+00:00
1149,356,433,155,571,348,,1,Hector,live_20260727-224901,2026-07-27T20:57:15.413741+00:00
1352,356,430,153,579,355,,1,Hector,live_20260727-224901,2026-07-27T20:57:19.537901+00:00
1352,380,276,178,360,297,,1,Hector,live_20260727-224901,2026-07-27T20:57:19.788096+00:00
1570,356,433,153,576,353,,1,Hector,live_20260727-224901,2026-07-27T20:57:20.846530+00:00
1772,356,432,153,576,349,,1,Hector,live_20260727-224901,2026-07-27T20:57:21.933528+00:00
1772,395,545,153,638,247,,1,Hector,live_20260727-224901,2026-07-27T20:57:22.103559+00:00
1957,356,432,154,575,353,,1,Hector,live_20260727-224901,2026-07-27T20:57:23.744098+00:00
1957,395,547,150,639,357,,1,Hector,live_20260727-224901,2026-07-27T20:57:23.921994+00:00
2139,356,434,154,575,352,,1,Hector,live_20260727-224901,2026-07-27T20:57:26.930781+00:00
2139,395,547,150,639,358,,1,Hector,live_20260727-224901,2026-07-27T20:57:29.595253+00:00
2317,356,433,151,576,347,,1,Hector,live_20260727-224901,2026-07-27T20:57:30.661505+00:00
2500,448,438,98,605,357,,1,Hector,live_20260727-224901,2026-07-27T20:57:31.901143+00:00
2500,395,537,148,636,353,,1,Hector,live_20260727-224901,2026-07-27T20:57:32.163443+00:00
2709,448,361,19,541,356,,1,Hector,live_20260727-224901,2026-07-27T20:57:33.000908+00:00
2887,448,225,103,318,356,,1,Hector,live_20260727-224901,2026-07-27T20:57:34.526987+00:00
2887,501,301,122,356,356,,1,Hector,live_20260727-224901,2026-07-27T20:57:34.662510+00:00
2887,523,590,132,640,248,,1,Hector,live_20260727-224901,2026-07-27T20:57:34.792808+00:00
2887,535,561,143,597,238,,1,Hector,live_20260727-224901,2026-07-27T20:57:34.939216+00:00
3769,630,240,220,297,349,,1,Hector,live_20260727-224901,2026-07-27T20:57:40.334940+00:00
3970,674,15,206,54,251,,0,Hector,live_20260727-224901,2026-07-27T20:57:44.319898+00:00
3970,665,260,163,338,350,,1,Hector,live_20260727-224901,2026-07-27T20:57:46.252540+00:00
4174,684,416,81,630,356,,1,Hector,live_20260727-224901,2026-07-27T20:57:47.632838+00:00
5282,770,359,215,432,333,,1,Hector,live_20260727-224901,2026-07-27T20:57:59.151175+00:00
6473,806,240,173,275,284,,1,Hector,live_20260727-224901,2026-07-27T20:58:03.219398+00:00
6673,826,273,166,343,341,,1,Hector,live_20260727-224901,2026-07-27T20:58:04.247779+00:00
7373,875,512,169,561,279,,1,Hector,live_20260727-224901,2026-07-27T20:58:07.195718+00:00
